Date,Open,High,Low,Close,Volume,Market Cap
17-Sep-17,438.9,438.9,384.06,419.86,221828000.00,"7,279,520,000"
16-Sep-17,424.49,450.98,388.2,440.22,313583000.00,"7,039,590,000"
15-Sep-17,369.49,448.39,301.69,424.02,707231000.00,"6,126,800,000"
14-Sep-17,504.22,510.47,367.04,367.04,257431000.00,"8,359,650,000"
13-Sep-17,509.47,519.2,471.22,503.61,340344000.00,"8,445,540,000"
12-Sep-17,539.03,559.22,505.01,510.41,273825000.00,"8,934,220,000"
11-Sep-17,537.19,556.25,515.67,537.81,274712000.00,"8,902,570,000"
10-Sep-17,546.48,546.75,484.09,537.07,289508000.00,"9,055,430,000"
9-Sep-17,584.73,586.18,539.15,547.47,234578000.00,"9,688,150,000"
8-Sep-17,654.37,687.3,557.5,583.1,809763000.00,"10,840,500,000"
7-Sep-17,636.85,707.98,603.5,652.86,1082380000.00,"10,548,500,000"
6-Sep-17,541.28,642.69,539.96,638.18,693240000.00,"8,964,700,000"
5-Sep-17,514.9,550.95,458.78,541.71,338978000.00,"8,527,100,000"
4-Sep-17,608.26,608.26,500.75,517.24,328957000.00,"10,072,200,000"
3-Sep-17,578.27,617.41,563.59,607.43,344862000.00,"9,574,520,000"
2-Sep-17,621.96,642.05,560.58,575.9,350478000.00,"10,297,000,000"
1-Sep-17,588.4,645.52,586.73,622.17,393839000.00,"9,740,460,000"
31-Aug-17,576.25,603.69,572.14,588.17,298144000.00,"9,538,750,000"
30-Aug-17,549.32,604.69,535.92,575.21,443856000.00,"9,092,300,000"
29-Aug-17,596.13,599.3,528.32,552.93,370017000.00,"9,866,110,000"
28-Aug-17,619.7,626.88,595.52,596.18,216273000.00,"10,254,800,000"
27-Aug-17,625.89,654.87,589.63,620.9,402718000.00,"10,357,000,000"
26-Aug-17,641.88,646.93,622.36,625.32,193414000.00,"10,616,100,000"
25-Aug-17,627.06,665.41,624.3,641.05,348632000.00,"10,365,600,000"
24-Aug-17,670.03,697.32,617.31,628.11,407177000.00,"11,071,100,000"
23-Aug-17,690.96,715.67,651.32,669.4,501983000.00,"11,416,800,000"
22-Aug-17,596.19,734.88,570.27,690.88,1393260000.00,"9,844,620,000"
21-Aug-17,723.7,756.59,573.47,599.63,1123400000.00,"11,943,100,000"
20-Aug-17,772.42,858.96,683.94,712.87,1494020000.00,"12,742,600,000"
19-Aug-17,697.04,1091.97,625.16,754.56,3196230000.00,"11,498,100,000"
18-Aug-17,458.67,764.07,458.67,690.24,3087490000.00,"7,565,590,000"
17-Aug-17,301.02,460.53,293.1,460.53,744605000.00,"4,964,980,000"
16-Aug-17,297.97,307.62,290.21,300.21,106436000.00,"4,914,350,000"
15-Aug-17,298.19,306.52,292.88,297.86,133924000.00,"4,917,480,000"
14-Aug-17,296.1,327.39,293.5,297.68,174968000.00,"4,882,720,000"
13-Aug-17,316.29,317.47,298.05,298.05,120722000.00,"5,215,330,000"
12-Aug-17,327.82,341.85,313.7,317.09,126007000.00,"5,405,200,000"
11-Aug-17,275.88,351.16,275.02,328.24,233971000.00,"4,548,600,000"
10-Aug-17,305.21,311.68,274.68,275.95,136637000.00,"5,031,790,000"
9-Aug-17,345.28,349.32,298.61,303.89,165032000.00,"5,691,960,000"
8-Aug-17,321.35,386.29,309.61,345.49,274880000.00,"5,297,390,000"
7-Aug-17,223.76,373.87,223.76,319.69,346546000.00,"3,688,360,000"
6-Aug-17,212.18,223.7,203.44,220.66,107606000.00,"3,497,290,000"
5-Aug-17,231.11,273.04,200.98,213.15,144043000.00,"3,809,330,000"
4-Aug-17,362.18,386.93,233.05,233.05,185038000.00,"5,969,720,000"
3-Aug-17,448.49,519.28,364.05,364.05,161518000.00,"7,392,030,000"
2-Aug-17,382.38,756.93,309.33,452.66,416207000.00,"6,302,360,000"
1-Aug-17,294.6,426.11,210.38,380.01,65988800.00,-
31-Jul-17,346.36,347.82,266.19,294.46,1075960.00,-
30-Jul-17,385.14,385.14,316.25,345.66,606695.00,-
29-Jul-17,410.56,423.73,323.73,384.77,737815.00,-
28-Jul-17,386.65,465.18,217.06,406.05,1230160.00,-
27-Jul-17,417.1,460.97,367.78,385.48,533207.00,-
26-Jul-17,407.08,486.16,321.79,365.82,1784640.00,-
25-Jul-17,441.35,541.66,338.09,406.9,524908.00,-
24-Jul-17,412.58,578.89,409.21,440.7,190952.00,-
23-Jul-17,555.89,578.97,411.78,413.06,85013.00,-
