Date,Open,High,Low,Close,Volume,Market Cap
17-Sep-17,298.59,315.58,278.17,313.84,38081600.00,"2,257,850,000"
16-Sep-17,284.5,301.23,276.57,298.86,43702600.00,"2,150,800,000"
15-Sep-17,236.05,300.11,220.51,284.36,72695500.00,"1,784,040,000"
14-Sep-17,301.11,303.74,236.24,236.24,35013800.00,"2,275,100,000"
13-Sep-17,324.72,325.16,287.25,301.29,28322500.00,"2,452,930,000"
12-Sep-17,318.42,328.6,318.42,325.97,27190400.00,"2,404,680,000"
11-Sep-17,322.02,332.12,315.91,318.4,25159900.00,"2,431,230,000"
10-Sep-17,323.24,323.24,295.86,320.11,27435400.00,"2,439,780,000"
9-Sep-17,334.95,335.13,313.69,323.14,23244600.00,"2,527,540,000"
8-Sep-17,343.53,368.17,317.95,333.21,63012500.00,"2,591,570,000"
7-Sep-17,346.45,347.57,333.8,343.91,24715700.00,"2,612,980,000"
6-Sep-17,328.15,348.45,326.95,347.17,35294300.00,"2,474,300,000"
5-Sep-17,316.88,333.83,286.53,327.23,53928800.00,"2,388,710,000"
4-Sep-17,356.94,357.21,301.84,316.13,44170200.00,"2,689,920,000"
3-Sep-17,354.63,373.08,338.23,356.39,34945200.00,"2,670,270,000"
2-Sep-17,393.53,395.92,329.27,350.17,54813400.00,"2,962,400,000"
1-Sep-17,377.92,393.35,376.34,393.35,55440700.00,"2,844,110,000"
31-Aug-17,368.57,380.34,368.18,378.32,34978600.00,"2,773,030,000"
30-Aug-17,359.59,375.7,358.69,368.34,44586300.00,"2,704,790,000"
29-Aug-17,357.16,367.34,354.49,359.55,50014900.00,"2,685,760,000"
28-Aug-17,362.5,369.19,351.24,356.78,57630700.00,"2,725,220,000"
27-Aug-17,400.42,400.63,358.23,362.89,121516000.00,"3,009,530,000"
26-Aug-17,315.28,409.77,315.28,399.85,267415000.00,"2,369,010,000"
25-Aug-17,317.91,320.65,306.68,315.89,53632700.00,"2,388,160,000"
24-Aug-17,292.96,315.37,291.19,315.37,58804500.00,"2,200,130,000"
23-Aug-17,290.46,299.14,287.73,292.57,47798300.00,"2,180,790,000"
22-Aug-17,280.29,299.98,260.53,291.5,74971200.00,"2,103,900,000"
21-Aug-17,293.77,300.52,275.94,279.58,58023900.00,"2,204,480,000"
20-Aug-17,288.2,327.25,287.82,294.2,107973000.00,"2,162,080,000"
19-Aug-17,224.67,329.98,224.67,288.7,220487000.00,"1,685,040,000"
18-Aug-17,233.84,240.41,219.42,224.28,50324200.00,"1,753,350,000"
17-Aug-17,231.58,260.6,229.08,233.62,98375500.00,"1,736,000,000"
16-Aug-17,203.85,233.53,198.92,232.02,63100100.00,"1,527,710,000"
15-Aug-17,199.8,206.13,192.73,203.52,37532600.00,"1,496,920,000"
14-Aug-17,198.32,202.89,195.35,199.44,29888400.00,"1,485,500,000"
13-Aug-17,205.59,207.19,192.14,198.17,36281800.00,"1,539,490,000"
12-Aug-17,206.22,210.64,201.38,205.49,30017500.00,"1,543,820,000"
11-Aug-17,200.82,209.11,199.59,205.79,28677400.00,"1,502,990,000"
10-Aug-17,199.56,205.54,195.78,200.96,30972000.00,"1,493,200,000"
9-Aug-17,203.74,205.87,193.33,199.21,31657100.00,"1,524,040,000"
8-Aug-17,196.58,205.5,194.97,203.84,35117200.00,"1,470,120,000"
7-Aug-17,189.07,197.91,187.05,197.19,32441600.00,"1,413,570,000"
6-Aug-17,193.71,195,188.43,189.13,25336000.00,"1,447,880,000"
5-Aug-17,186.96,195.55,185.73,193.83,41127900.00,"1,397,060,000"
4-Aug-17,186.92,189.96,186.13,186.97,28791800.00,"1,395,520,000"
3-Aug-17,183.17,189.19,180.28,186.99,25612400.00,"1,367,150,000"
2-Aug-17,185.16,186.24,181.42,182.93,19076200.00,"1,381,630,000"
1-Aug-17,179.2,186.23,177.26,184.75,34656300.00,"1,336,810,000"
