id,city,avg_cost,population,other
1,Houxiang,55.1215175,609458,-15.66171
2,Leribe,95.782967,601963,-23.79499
3,Hengshan,57.8678267,589509,1.31471
4,Sogcho,59.220634,948491,-11.3828
5,Kohlu,23.092232,92206,7.66861
6,Jinsha,86.1738239,799873,23.09147
7,Carvalhinho,99.9335629,596174,-12.48951
8,Miragaia,34.1809779,974753,-5.99009
9,Ozorków,32.8846557,239314,15.6815
10,Šmarje pri Jelšah,54.1635039,307644,-12.3496
11,Parravak’ar,32.4806191,624876,-5.51248
12,Basel,73.7367682,100134,-13.38586
13,Tombu,67.7085179,611917,11.18574
14,Riangwale,34.7583218,250553,-11.55808
15,Bystřice nad Pernštejnem,65.0741438,933808,-5.42868
16,Konsoy,26.2755086,846674,-19.09224
17,Lapinjärvi,13.2884316,271935,20.96859
18,Yaojiagou,83.1937853,115525,21.39289
19,Moyynkum,56.0500599,958962,-3.14475
20,Bandhagen,61.3228061,900392,-24.02579
21,Wenquan,7.9670557,86778,-1.53657
22,Bangker,75.9458474,176705,7.66444
23,San Basilio,14.8149052,590183,15.07231
24,Bojong,59.3157556,392921,-9.96122
25,Kushiro,55.2722404,905195,-7.69169
26,Tignoan,43.5556853,942725,2.55956
27,Turan,60.3422383,991346,0.08723
28,Tála,53.7494336,351949,-22.72176
29,Alto de la Estancia,36.0579938,962163,-10.27159
30,Song,90.9482893,727778,11.16422
31,Hucheng,16.1916805,992056,-7.6696
32,Kebonagung,62.3795705,936440,13.30294
33,Kälviä,6.7965512,806349,2.56748
34,Mananum,23.8684724,277299,-3.34856
35,Sanhe,29.8502419,817597,-18.11376
36,Blora,95.1538345,498583,-17.32339
37,Santiago,47.6219608,114902,-16.33554
38,Yuefeng,18.4786907,633516,-14.60837
39,Habana del Este,8.9331017,887445,17.19308
40,Ad Dann,85.3883341,452369,-19.74696
41,Zhoukou,22.6028202,809361,-2.52668
42,Nestório,52.3567806,510217,8.54611
43,Lianran,37.8022602,390985,-2.11902
44,Wuluquele,75.0093479,567307,15.73229
45,Maksatikha,64.3603779,538277,-1.94082
46,Sośnicowice,75.7335278,220403,-20.39021
47,Dmitriyevskoye,33.0297134,153281,-15.69915
48,Sathing Phra,69.6037518,563524,4.23425
49,Brooklyn,59.7346867,258033,4.15116
50,Wenfang,62.0197315,971817,24.67405
51,Sake,26.496161,107413,16.14223
52,Caidian,28.235949,589575,-15.7197
53,Gunjur Kuta,72.3761803,40411,-17.65324
54,Ulcinj,18.6207662,862121,1.79606
55,Seattle,2.2113892,840762,-17.35593
56,Stalbe,40.8657908,925160,7.29231
57,Kebonsari Kidul,97.8411126,319103,-15.3134
58,Bājitpur,86.2206439,576209,11.65599
59,Waterloo,76.0984091,689167,22.68882
60,Odivelas,57.9501844,593372,3.16063
61,Banjarejo,99.4877232,988046,-14.47783
62,Ekerö,18.927594,377311,20.36846
63,Tekeli,43.4783827,941098,-10.40617
64,Siedleczka,61.1017974,754253,11.35814
65,Rislane,6.7516462,536557,-19.93868
66,Burgas,47.0744343,420571,19.13594
67,Stąporków,82.6731901,640353,-9.15101
68,Wenping,74.1517835,910126,24.59682
69,Dukuhsawah,36.3002768,749355,-0.6677
70,Paris 13,45.590167,954250,-24.96109
71,Karangbenda,82.92469,989043,14.37563
72,Zolochiv,39.6071137,598289,-20.27806
73,Ganjiang,52.910999,596051,-9.86055
74,Rinbung,10.5623756,236081,-13.11618
75,Kozlovice,88.4270004,772287,0.99054
76,Bayan Hure,34.0745561,67344,-12.23212
77,El Gouna,42.6466233,208983,-8.85699
78,Asarum,99.331721,546490,-14.33733
79,Inya,8.3652357,566221,18.67832
80,Jubung,38.1518738,222321,-16.18331
81,Xiabaishi,75.061965,656523,16.09896
82,Błaszki,67.2656666,393776,-17.24931
83,Fougamou,12.3843636,500873,-1.17578
84,Usatove,48.8005866,145395,0.14343
85,Haugesund,50.7423871,633872,9.64512
86,Fangxiang,30.859458,457737,-2.27898
87,Pereira,95.4916077,277061,-9.57314
88,Miaoxi,76.5785455,211485,18.79227
89,Rafaḩ,38.3688685,819898,17.60648
90,Nanping,65.7344289,200630,17.46956
91,Langue,39.2239069,33544,1.83139
92,Solna,75.4389174,853080,19.23175
93,Xufu,74.7790964,769049,22.47926
94,Raszowa,71.7475341,458095,-13.39336
95,Río Ceballos,61.2667813,206762,24.74405
96,Gongming,36.6451666,384807,-3.13012
97,Lokuuy,82.2674821,584340,-3.29339
98,Joutsa,88.5986885,561676,-6.99245
99,Ágios Stéfanos,98.0197385,903489,8.65735
100,Bojong,46.0218938,970089,-19.8271
101,Krechevitsy,66.240825,496858,8.04109
102,San Francisco,69.1380693,245795,2.94466
103,Bebae,54.3485659,367788,-4.12123
104,Waishan,33.955789,915705,-20.52341
105,Bisée,23.0082837,225211,-1.05764
106,Makurdi,63.1049174,130393,15.61583
107,Nol,14.9697398,797585,15.2394
108,Lingxi,47.1266263,946103,-20.73096
109,Kavarna,69.2932556,716574,-21.31558
110,Täby,46.0172521,324406,-13.78016
111,Pereiro,56.8066818,284453,-12.15675
112,Neftobod,63.4780586,654784,-18.62377
113,Kuala Terengganu,21.3220483,170566,0.2454
114,Palaiomonástiron,86.7781139,419057,-10.61921
115,Concepcion,55.1451591,703837,3.27708
116,Il’ya,52.1643028,553017,2.30296
117,Strängnäs,61.9383705,193970,11.21859
118,Bulgan,41.595068,786084,-12.35284
119,Viesīte,80.8178723,155768,18.25977
