Country,Item Type,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Tuvalu,Baby Food,9925,255.28,159.42,2533654,1582243.5,951410.5
Grenada,Cereal,2804,205.7,117.11,576782.8,328376.44,248406.36
Russia,Office Supplies,1779,651.21,524.96,1158502.59,933903.84,224598.75
Sao Tome and Principe,Fruits,8102,9.33,6.92,75591.66,56065.84,19525.82
Rwanda,Office Supplies,5062,651.21,524.96,3296425.02,2657347.52,639077.5
Solomon Islands,Baby Food,2974,255.28,159.42,759202.72,474115.08,285087.64
Angola,Household,4187,668.27,502.54,2798046.49,2104134.98,693911.51
Burkina Faso,Vegetables,8082,154.06,90.93,1245112.92,734896.26,510216.66
Republic of the Congo,Personal Care,6070,81.73,56.67,496101.1,343986.9,152114.2
Senegal,Cereal,6593,205.7,117.11,1356180.1,772106.23,584073.87
Kyrgyzstan,Vegetables,124,154.06,90.93,19103.44,11275.32,7828.12
Cape Verde,Clothes,4168,109.28,35.84,455479.04,149381.12,306097.92
Bangladesh,Clothes,8263,109.28,35.84,902980.64,296145.92,606834.72
Honduras,Household,8974,668.27,502.54,5997054.98,4509793.96,1487261.02
Mongolia,Personal Care,4901,81.73,56.67,400558.73,277739.67,122819.06
Bulgaria,Clothes,1673,109.28,35.84,182825.44,59960.32,122865.12
Sri Lanka,Cosmetics,6952,437.2,263.33,3039414.4,1830670.16,1208744.24
Cameroon,Beverages,5430,47.45,31.79,257653.5,172619.7,85033.8
Turkmenistan,Household,3830,668.27,502.54,2559474.1,1924728.2,634745.9
East Timor,Meat,5908,421.89,364.69,2492526.12,2154588.52,337937.6
Norway,Baby Food,7450,255.28,159.42,1901836,1187679,714157
Portugal,Baby Food,1273,255.28,159.42,324971.44,202941.66,122029.78
Honduras,Snacks,2225,152.58,97.44,339490.5,216804,122686.5
New Zealand,Fruits,2187,9.33,6.92,20404.71,15134.04,5270.67
Moldova ,Personal Care,5070,81.73,56.67,414371.1,287316.9,127054.2
France,Cosmetics,1815,437.2,263.33,793518,477943.95,315574.05
Kiribati,Fruits,5398,9.33,6.92,50363.34,37354.16,13009.18
Mali,Fruits,5822,9.33,6.92,54319.26,40288.24,14031.02
Norway,Beverages,5124,47.45,31.79,243133.8,162891.96,80241.84
The Gambia,Household,2370,668.27,502.54,1583799.9,1191019.8,392780.1
Switzerland,Cosmetics,8661,437.2,263.33,3786589.2,2280701.13,1505888.07
South Sudan,Personal Care,2125,81.73,56.67,173676.25,120423.75,53252.5
Australia,Office Supplies,2924,651.21,524.96,1904138.04,1534983.04,369155
Myanmar,Household,8250,668.27,502.54,5513227.5,4145955,1367272.5
Djibouti,Snacks,7327,152.58,97.44,1117953.66,713942.88,404010.78
Costa Rica,Personal Care,6409,81.73,56.67,523807.57,363198.03,160609.54
Syria,Fruits,3784,9.33,6.92,35304.72,26185.28,9119.44
The Gambia,Meat,4767,421.89,364.69,2011149.63,1738477.23,272672.4
Brunei,Office Supplies,6708,651.21,524.96,4368316.68,3521431.68,846885
Bulgaria,Office Supplies,3987,651.21,524.96,2596374.27,2093015.52,503358.75
Niger,Personal Care,3015,81.73,56.67,246415.95,170860.05,75555.9
Azerbaijan,Cosmetics,7234,437.2,263.33,3162704.8,1904929.22,1257775.58
The Gambia,Cereal,2117,205.7,117.11,435466.9,247921.87,187545.03
Slovakia,Vegetables,171,154.06,90.93,26344.26,15549.03,10795.23
Myanmar,Clothes,5930,109.28,35.84,648030.4,212531.2,435499.2
Comoros,Cereal,962,205.7,117.11,197883.4,112659.82,85223.58
Iceland,Cosmetics,8867,437.2,263.33,3876652.4,2334947.11,1541705.29
Switzerland,Personal Care,273,81.73,56.67,22312.29,15470.91,6841.38
Macedonia,Clothes,7842,109.28,35.84,856973.76,281057.28,575916.48
Mauritania,Office Supplies,1266,651.21,524.96,824431.86,664599.36,159832.5
Albania,Clothes,2269,109.28,35.84,247956.32,81320.96,166635.36
Lesotho,Fruits,9606,9.33,6.92,89623.98,66473.52,23150.46
Saudi Arabia,Cereal,4063,205.7,117.11,835759.1,475817.93,359941.17
Sierra Leone,Office Supplies,3457,651.21,524.96,2251232.97,1814786.72,436446.25
Sao Tome and Principe,Fruits,7637,9.33,6.92,71253.21,52848.04,18405.17
Cote d'Ivoire,Clothes,3482,109.28,35.84,380512.96,124794.88,255718.08
Fiji,Clothes,9905,109.28,35.84,1082418.4,354995.2,727423.2
Austria,Cosmetics,2847,437.2,263.33,1244708.4,749700.51,495007.89
United Kingdom,Household,282,668.27,502.54,188452.14,141716.28,46735.86
Djibouti,Cosmetics,7215,437.2,263.33,3154398,1899925.95,1254472.05
Australia,Cereal,682,205.7,117.11,140287.4,79869.02,60418.38
San Marino,Baby Food,4750,255.28,159.42,1212580,757245,455335
Cameroon,Office Supplies,5518,651.21,524.96,3593376.78,2896729.28,696647.5
Libya,Clothes,6116,109.28,35.84,668356.48,219197.44,449159.04
Haiti,Cosmetics,1705,437.2,263.33,745426,448977.65,296448.35
Rwanda,Cosmetics,4477,437.2,263.33,1957344.4,1178928.41,778415.99
Gabon,Personal Care,8656,81.73,56.67,707454.88,490535.52,216919.36
Belize,Clothes,5498,109.28,35.84,600821.44,197048.32,403773.12
Lithuania,Office Supplies,8287,651.21,524.96,5396577.27,4350343.52,1046233.75
Madagascar,Clothes,7342,109.28,35.84,802333.76,263137.28,539196.48
Turkmenistan,Office Supplies,5010,651.21,524.96,3262562.1,2630049.6,632512.5
Libya,Fruits,673,9.33,6.92,6279.09,4657.16,1621.93
Democratic Republic of the Congo,Beverages,5741,47.45,31.79,272410.45,182506.39,89904.06
Djibouti,Cereal,8656,205.7,117.11,1780539.2,1013704.16,766835.04
Pakistan,Cosmetics,9892,437.2,263.33,4324782.4,2604860.36,1719922.04
Mexico,Household,6954,668.27,502.54,4647149.58,3494663.16,1152486.42
Federated States of Micronesia,Beverages,9379,47.45,31.79,445033.55,298158.41,146875.14
Laos,Vegetables,3732,154.06,90.93,574951.92,339350.76,235601.16
Monaco,Baby Food,8614,255.28,159.42,2198981.92,1373243.88,825738.04
Samoa ,Cosmetics,9654,437.2,263.33,4220728.8,2542187.82,1678540.98
Spain,Household,4513,668.27,502.54,3015902.51,2267963.02,747939.49
Lebanon,Clothes,7884,109.28,35.84,861563.52,282562.56,579000.96
Iran,Cosmetics,6489,437.2,263.33,2836990.8,1708748.37,1128242.43
Zambia,Snacks,4085,152.58,97.44,623289.3,398042.4,225246.9
Kenya,Vegetables,6457,154.06,90.93,994765.42,587135.01,407630.41
Mexico,Personal Care,6422,81.73,56.67,524870.06,363934.74,160935.32
Sao Tome and Principe,Beverages,8829,47.45,31.79,418936.05,280673.91,138262.14
The Gambia,Baby Food,5559,255.28,159.42,1419101.52,886215.78,532885.74
Kuwait,Fruits,522,9.33,6.92,4870.26,3612.24,1258.02
Slovenia,Beverages,4660,47.45,31.79,221117,148141.4,72975.6
Sierra Leone,Office Supplies,948,651.21,524.96,617347.08,497662.08,119685
Australia,Beverages,9389,47.45,31.79,445508.05,298476.31,147031.74
Azerbaijan,Office Supplies,2021,651.21,524.96,1316095.41,1060944.16,255151.25
Romania,Cosmetics,7910,437.2,263.33,3458252,2082940.3,1375311.7
Nicaragua,Beverages,8156,47.45,31.79,387002.2,259279.24,127722.96
Mali,Clothes,888,109.28,35.84,97040.64,31825.92,65214.72
Malaysia,Fruits,6267,9.33,6.92,58471.11,43367.64,15103.47
Sierra Leone,Vegetables,1485,154.06,90.93,228779.1,135031.05,93748.05
Mexico,Personal Care,5767,81.73,56.67,471336.91,326815.89,144521.02
Mozambique,Household,5367,668.27,502.54,3586605.09,2697132.18,889472.91
